frame_number,person_count
3,37
4,37
5,38
6,36
7,36
8,35
9,36
10,36
11,37
12,34
23,33
24,34
25,35
26,36
27,35
28,35
29,35
30,34
31,31
32,31
33,32
34,30
35,32
36,34
37,33
38,36
39,38
40,35
41,33
42,35
43,33
44,34
45,35
46,37
47,36
48,36
49,36
50,40
51,41
52,37
63,37
64,36
65,36
66,39
67,37
68,35
69,36
70,39
71,38
72,38
73,41
74,42
75,40
76,41
77,42
78,41
79,40
80,40
81,37
82,41
83,38
84,38
85,38
86,37
87,36
88,38
89,38
90,40
91,38
92,37
93,37
94,35
95,35
96,36
97,35
98,37
99,37
100,35
101,38
102,37
103,38
104,36
105,35
106,33
107,35
108,32
109,32
110,33
111,32
112,33
122,32
123,35
124,37
125,36
126,38
127,33
128,35
129,34
130,32
131,33
132,31
133,31
134,32
135,32
136,31
137,31
138,33
139,30
140,33
141,28
142,30
143,30
144,31
145,30
146,29
147,30
148,30
149,30
150,30
151,30
152,28
153,29
154,29
155,30
156,30
157,29
158,26
159,29
160,30
161,28
189,30
190,30
191,30
192,31
193,32
194,32
195,31
196,33
197,34
198,35
248,24
249,25
250,25
251,25
252,27
253,28
254,29
255,30
256,29
257,28
268,28
269,29
270,28
271,27
272,26
273,30
274,29
275,29
276,29
277,30
278,31
279,32
280,30
281,30
282,30
283,28
284,28
285,29
286,29
287,28
290,29
291,29
292,31
293,34
294,29
295,30
296,32
297,30
298,30
299,31
300,29
301,28
302,29
303,28
304,26
305,28
306,29
307,31
308,28
309,31
310,25
311,28
312,29
313,29
314,26
315,28
316,29
317,28
318,28
319,29
320,31
321,31
322,30
323,29
324,28
325,28
326,29
327,28
328,29
329,30
330,29
331,28
332,28
333,33
334,32
335,31
336,29
337,29
338,32
339,33
